"('P0', 'id')","('P1_b ', 'Genero')","('P2_f ', 'Cargo Atual')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')"
001b2d1qtli8t9z7oqgdhj001b2d4i0g,Masculino,Cientista de Dados/Data Scientist,de 3 a 4 anos,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI
0026aa3fwd78u0026asg7456tfkjg2cs,Masculino,Analista de BI/BI Analyst,de 3 a 4 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
00r21rb9pusd1b0v7ew00r21rw3dy69w,Feminino,Analista de Dados/Data Analyst,de 1 a 2 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
00urm3jf2cek12w6ygue00urm3jzd17j,Masculino,,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
00v0az4g792svil00vn6y1kfm9hq8vy9,Masculino,Analista de Dados/Data Analyst,Menos de 1 ano,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios
015qqbrh4rr015qje9gvkbsb7ti1n5df,Masculino,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
01810y9hweneb018to8t1p8ubyn1o04m,Masculino,Analista de Negócios/Business Analyst,de 3 a 4 anos,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01k1i8w42ljmgee01k1eay1n1283ot23,Masculino,,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
01n9nd73iv68k81iefenxv01n9nd7wjt,Masculino,,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01v9nqn7mz93ace01v9ig2aswc6oy2zq,Masculino,,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios
01zusm1faol2k2601zlthh05cj7iqyit,Masculino,Analista de BI/BI Analyst,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02cv39tv75nm2z9zhcv02cv379703hvs,Feminino,,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
02yuxvtb6698rqwq8w02yuza594l7cut,Feminino,Outra Opção,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios
03hoy11ga4jko92xixsfb03hogk1wpa8,Masculino,,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,Masculino,,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI
03zphd4wn92u78t7c03zph7kmu1pu8nw,Feminino,,de 4 a 6 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI
