"('P0', 'id')","('P1_b ', 'Genero')","('P1_f_1', 'Quantidade de oportunidades de emprego/vagas recebidas')","('P1_i ', 'Estado onde mora')","('P2_f ', 'Cargo Atual')"
001b2d1qtli8t9z7oqgdhj001b2d4i0g,Masculino,,Minas Gerais (MG),Cientista de Dados/Data Scientist
0026aa3fwd78u0026asg7456tfkjg2cs,Masculino,,Espírito Santo (ES),Analista de BI/BI Analyst
00r21rb9pusd1b0v7ew00r21rw3dy69w,Feminino,1.0,São Paulo (SP),Analista de Dados/Data Analyst
00urm3jf2cek12w6ygue00urm3jzd17j,Masculino,,São Paulo (SP),
00v0az4g792svil00vn6y1kfm9hq8vy9,Masculino,,Minas Gerais (MG),Analista de Dados/Data Analyst
015qqbrh4rr015qje9gvkbsb7ti1n5df,Masculino,,Rio de Janeiro (RJ),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
01810y9hweneb018to8t1p8ubyn1o04m,Masculino,,São Paulo (SP),Analista de Negócios/Business Analyst
01k1i8w42ljmgee01k1eay1n1283ot23,Masculino,,São Paulo (SP),
01n9nd73iv68k81iefenxv01n9nd7wjt,Masculino,,Rio de Janeiro (RJ),
01v9nqn7mz93ace01v9ig2aswc6oy2zq,Masculino,,São Paulo (SP),
01zusm1faol2k2601zlthh05cj7iqyit,Masculino,1.0,Sergipe (SE),Analista de BI/BI Analyst
02cv39tv75nm2z9zhcv02cv379703hvs,Feminino,1.0,Pernambuco (PE),
02yuxvtb6698rqwq8w02yuza594l7cut,Feminino,0.0,Rio Grande do Sul (RS),Outra Opção
03hoy11ga4jko92xixsfb03hogk1wpa8,Masculino,,São Paulo (SP),
03s7lpmvw0hjtzjgxl5ys03s7lpmbwwg,Masculino,,Distrito Federal (DF),
03zphd4wn92u78t7c03zph7kmu1pu8nw,Feminino,,Minas Gerais (MG),
04b8mbh28y4r0z04b8f42bs4j4ma44pl,Feminino,0.0,Rio de Janeiro (RJ),Analista de Dados/Data Analyst
04ellbzcl7lj3va9n1yx04eleu3mlvml,Feminino,0.0,Minas Gerais (MG),Analista de Negócios/Business Analyst
04mb6m64f1b9566fnjwz04mb6m6bmelv,Masculino,0.0,Paraná (PR),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
04oft971jvyonsl456b704oft97ssj7l,Masculino,,Rio de Janeiro (RJ),
04qj1aoh18cgbwi04qj1aohkr325qe6z,Masculino,,Paraíba (PB),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
04qmbrvl35x33l4prch04qmbr7a5ee5j,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
04zjy2mj5qhb4d4uv04zjw3u7cxv87x7,Masculino,,Paraná (PR),Cientista de Dados/Data Scientist
05csrlllrg5xhyryv7i305csrl8hfybu,Feminino,0.0,Minas Gerais (MG),
05edmndszxd75nu8o05edmnbiuloulj9,Feminino,1.0,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
05na8bynsxjppjlrgsfb405na83mpw9f,Masculino,,Acre (AC),Analista de Dados/Data Analyst
06bekvb2fzxi6n0czi06bekvydrj06mi,Feminino,1.0,Minas Gerais (MG),
06ytc58mw53h90izzo306ytcpdc16w70,Masculino,,Santa Catarina (SC),Professor/Pesquisador
06zhqgd6dr4xjy06zhqg21con02zwy42,Feminino,0.0,São Paulo (SP),Analytics Engineer
076sddptnza0htgkwxmr1jr076sddptb,Masculino,,São Paulo (SP),Economista
07ei3nr4jibmbslmgzup07ei3n8u13ka,Masculino,,São Paulo (SP),Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
07podb88144utvmy9lk0x07podb8k8nl,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
07vxvpqgtstbdqapyq07vo5p9yky8rqh,Masculino,,São Paulo (SP),
083f331tparwm4083fxbusb0cps0rmwa,Masculino,,Rio Grande do Sul (RS),Professor/Pesquisador
08f7gp5stfs0txz08fn357e56e1co6sj,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
091jp2ibksf49d1cgtz0091jp2bpsxzx,Masculino,,São Paulo (SP),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
09esdc97ebk0609es03a7nf83pw1owqg,Feminino,,Bahia (BA),Analista de Negócios/Business Analyst
0aadbbqu8p2hf3a0aadbshkx5p9ty80m,Masculino,,Santa Catarina (SC),Analista de Dados/Data Analyst
0an4fvp64oeblyt70k00an4fvtn9vcle,Masculino,,São Paulo (SP),Cientista de Dados/Data Scientist
0autzixgz8xh4s7nwdw70autzmjayn79,Masculino,,Paraná (PR),Analista de Dados/Data Analyst
0ayla3c460hpsv520ayla3i1xyyhg350,Masculino,,Rio Grande do Sul (RS),Analista de Dados/Data Analyst
0azf0jf1ydfqkp0azfxtfwkz1ph9k98y,Masculino,,Pará (PA),Analista de Dados/Data Analyst
