Idade,Genero,Cor/raca/etnia,PCD,UF,Regiao onde mora,Nível de Ensino,Área de formação,Situação de trabalho
31,0,1,0,12,2,5,0,Empregado(a)
30,0,1,0,7,2,2,0,Empregado(a)
37,1,0,0,24,2,2,0,Empregado(a)
22,0,6,0,24,2,1,0,Desempregado(a)
34,0,1,0,12,2,5,1,Empregado(a)
30,0,1,0,18,2,1,0,Empregado(a)
24,0,1,0,24,2,2,1,Empregado(a)
35,0,1,0,24,2,3,0,Empregado(a)
27,0,4,0,18,2,2,1,Empregado(a)
28,0,4,0,24,2,2,1,Desempregado(a)
25,0,6,1,25,1,1,0,Empregado(a)
46,1,4,0,16,1,3,0,Desempregado(a)
32,1,6,0,20,3,3,1,Empregado(a)
39,0,1,0,24,2,2,0,Empregado(a)
36,0,1,0,6,4,3,0,Empregado(a)
35,1,1,0,12,2,4,0,Empregado(a)
29,1,1,0,18,2,2,4,Empregado(a)
29,1,5,0,12,2,4,0,Empregado(a)
27,0,4,0,15,3,2,0,Empregado(a)
31,0,1,0,18,2,3,1,Empregado(a)
35,0,4,0,14,1,4,0,Empregado(a)
35,0,1,0,24,2,2,1,Empregado(a)
29,0,1,0,15,3,2,2,Empregado(a)
44,1,1,0,12,2,5,1,Empregado(a)
25,1,1,0,24,2,2,0,Empregado(a)
36,1,4,0,12,2,3,4,Empregado(a)
46,0,1,0,23,3,2,0,Empregado(a)
33,1,4,0,24,2,4,0,Empregado(a)
30,0,1,0,24,2,4,1,Empregado(a)
32,0,4,0,24,2,0,0,Empregado(a)
38,0,6,0,24,2,0,0,Empregado(a)
36,0,4,0,24,2,3,1,Empregado(a)
53,0,1,0,20,3,3,7,Empregado(a)
31,0,1,0,24,2,3,0,Empregado(a)
33,1,1,0,4,1,2,4,Empregado(a)
36,0,1,0,23,3,4,2,Empregado(a)
29,0,1,0,24,2,3,2,Empregado(a)
38,0,1,0,15,3,2,1,Empregado(a)
23,0,1,0,20,3,2,0,Empregado(a)
27,0,1,0,13,0,4,3,Empregado(a)
26,0,1,0,24,2,4,4,Empregado(a)
30,0,4,0,18,2,3,2,Empregado(a)
26,1,1,0,15,3,1,0,Empregado(a)
50,1,4,0,24,2,4,3,Empregado(a)
23,1,1,0,12,2,1,4,Empregado(a)
22,0,1,0,24,2,2,0,Empregado(a)
39,0,4,0,8,4,3,5,Empregado(a)
34,1,1,0,16,1,3,0,Empregado(a)
29,0,6,0,6,4,2,0,Empregado(a)
25,1,1,0,24,2,2,0,Empregado(a)
26,1,1,0,15,3,2,0,Empregado(a)
27,0,6,0,16,1,2,2,Empregado(a)
27,0,1,0,24,2,1,0,Empregado(a)
24,0,1,0,24,2,1,0,Empregado(a)
22,0,1,0,12,2,1,0,Empregado(a)
29,0,6,0,7,2,4,2,Empregado(a)
