('P1_a ', 'Idade');('P1_a_1 ', 'Faixa idade');('P1_b ', 'Genero');('P1_c ', 'Cor/raca/etnia');('P1_f ', 'aspectos_prejudicados');;;;('P1_f_4', 'Oportunidades de progressão de carreira');('P1_f_5', 'Velocidade de progressão de carreira');('P1_i ', 'Estado onde mora');('P1_i_1 ', 'uf onde mora');('P1_i_2 ', 'Regiao onde mora');('P2_a ', 'Qual sua situação atual de trabalho?');('P2_b ', 'Setor');('P2_f ', 'Cargo Atual');('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?');('P2_l_1 ', 'Falta de oportunidade de crescimento no emprego atual');('P2_r ', 'Atualmente qual a sua forma de trabalho?');('P4_a_1 ', 'Atuacao')
31;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empregado (CLT);Finanças ou Bancos;Cientista de Dados/Data Scientist;Trabalho presencial;0;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
30;30-34;Masculino;Branca;;;;;;;Espírito Santo (ES);ES;Sudeste;Empreendedor ou Empregado (CNPJ);Finanças ou Bancos;Analista de BI/BI Analyst;;;Modelo 100% remoto;Análise de Dados
37;35-39;Feminino;Amarela;Atenção dada pelas pessoas diante das minhas opiniões e ideias, Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas;;;;0;0;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Dados/Data Analyst;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);Ciência de Dados
22;22-24;Masculino;Preta;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
34;30-34;Masculino;Branca;;;;;;;Minas Gerais (MG);MG;Sudeste;Empreendedor ou Empregado (CNPJ);Outra Opção;Analista de Dados/Data Analyst;;;Modelo 100% remoto;Análise de Dados
30;30-34;Masculino;Branca;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Empreendedor ou Empregado (CNPJ);Tecnologia/Fábrica de Software;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;;;Modelo 100% remoto;Engenharia de Dados
24;22-24;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Finanças ou Bancos;Analista de Negócios/Business Analyst;;;Modelo híbrido com dias fixos de trabalho presencial;Análise de Dados
35;35-39;Masculino;Branca;;;;;;;São Paulo (SP);SP;Sudeste;Empregado (CLT);Varejo;;;;Modelo 100% remoto;Gestor
27;25-29;Masculino;Parda;;;;;;;Rio de Janeiro (RJ);RJ;Sudeste;Trabalho na área Acadêmica/Pesquisador;;;;;;Buscando oportunidade na área de dados
28;25-29;Masculino;Parda;;;;;;;São Paulo (SP);SP;Sudeste;Desempregado, buscando recolocação;;;;;;Buscando oportunidade na área de dados
