Idade,Genero,Cor/raca/etnia,PCD,Oportunidade de Progressão de Carreira,UF,Regiao onde mora,Nivel de Ensino,Area de Formação,Situação atual de Trabalho,Setor,Cargo,Nivel,Forma de Trabalho,Atuação
37,1,2,0,0,24,2,2,0,0,19,0,0,0,0
25,0,1,1,0,25,1,1,0,0,19,1,0,1,1
32,1,1,0,0,20,3,3,1,0,3,3,1,2,3
29,1,0,0,1,18,2,2,2,6,19,0,1,2,1
29,1,5,0,1,12,2,4,3,0,3,4,0,2,1
27,0,3,0,0,15,3,2,0,1,3,5,0,2,2
25,1,0,0,1,24,2,2,0,0,4,6,0,2,2
33,1,3,0,0,24,2,4,0,0,5,7,1,2,1
26,1,0,0,0,15,3,1,0,0,4,1,0,1,1
50,1,3,0,1,24,2,4,8,6,2,8,1,1,1
39,0,3,0,0,8,4,3,4,0,5,1,0,2,1
34,1,0,0,0,16,1,3,0,0,5,6,2,2,2
29,0,1,0,0,6,4,2,0,0,19,7,2,2,2
25,1,0,0,1,24,2,2,3,0,6,3,0,1,3
26,1,0,0,0,15,3,2,0,0,5,6,1,2,2
27,0,1,0,0,16,1,2,7,4,19,6,2,2,2
29,0,1,0,0,7,2,4,7,0,19,6,1,2,2
27,1,0,0,1,20,3,4,1,0,19,9,1,1,1
23,0,1,0,0,20,3,1,7,0,19,0,1,2,2
37,1,0,0,0,20,3,3,0,0,7,6,0,0,2
30,1,3,0,1,24,2,3,7,0,7,10,2,2,0
24,1,0,0,1,24,2,1,7,2,19,3,0,2,0
42,1,0,0,0,24,2,5,5,0,3,10,1,2,0
24,1,3,0,1,24,2,2,7,0,19,7,1,0,1
26,1,0,0,0,7,2,2,7,0,19,10,1,2,0
30,1,0,0,1,24,2,2,0,0,8,0,2,2,1
26,1,3,0,1,17,1,1,2,2,19,8,0,1,1
36,0,3,0,1,24,2,3,0,0,19,6,2,2,2
30,0,1,0,1,18,2,3,2,0,9,11,1,2,1
38,0,2,0,0,24,2,4,7,0,7,10,1,2,0
27,1,1,0,1,24,2,1,0,2,3,1,0,0,1
38,0,1,0,1,12,2,3,0,0,19,10,2,2,0
27,1,1,0,0,12,2,3,2,0,3,10,1,2,0
43,0,3,0,0,11,4,4,7,6,2,12,1,1,1
34,0,3,0,0,24,2,2,0,0,7,6,2,2,2
31,0,3,0,1,18,2,3,0,1,3,11,2,1,1
26,1,0,0,0,15,3,3,7,0,10,4,1,2,1
28,1,0,0,1,24,2,3,7,0,19,13,1,0,1
24,1,3,0,0,14,1,2,0,2,6,1,0,2,1
35,1,5,0,1,12,2,4,7,0,19,4,2,2,1
40,1,1,0,0,12,2,3,2,0,5,0,2,2,1
26,1,2,0,0,15,3,2,7,0,5,14,1,2,3
29,1,3,0,1,24,2,3,1,1,10,4,1,0,1
54,0,1,0,0,24,2,2,1,6,11,11,2,1,1
32,1,0,0,1,24,2,3,7,0,5,4,2,2,1
25,0,3,0,1,24,2,3,0,0,12,0,2,2,1
30,1,0,0,1,15,3,2,0,0,5,0,1,2,1
30,1,0,0,0,15,3,5,1,0,7,0,2,2,0
33,1,0,0,1,20,3,3,1,0,19,1,2,2,1
24,1,1,0,0,15,3,2,0,0,5,6,1,2,2
31,0,1,0,0,6,4,3,0,0,11,6,1,2,2
29,1,1,0,1,24,2,2,0,0,7,0,0,2,1
24,1,1,0,0,23,3,4,0,0,19,5,1,1,3
31,1,0,0,1,24,2,3,2,0,19,10,2,2,0
28,0,3,0,0,19,1,2,0,1,3,1,1,2,1
31,1,3,0,1,15,3,5,7,0,3,5,1,2,0
29,1,3,0,1,25,1,4,7,0,3,0,0,2,1
