('P1_a ', 'Idade');GENERO binário;EXPERIÊNCIA PREJUDICADA SIM OU NAO;CARGOS numéricamente;MÉDIA FAIXA SALARIAL;NÍVEL COM NÚMEROS ORDINAIS;('P2_k ', 'Você está satisfeito na sua empresa atual?');PRETENDE SAIR SIM OU NAO - TARGET;ESTOU NA FORMA DE TRABALHO IDEAL?
31;1;0;1;14000;2;0;1;0
30;1;0;1;7000;1;1;1;1
37;0;1;1;7000;0;1;1;0
34;1;0;1;5000;0;1;0;1
30;1;0;4;10000;1;1;0;1
24;1;0;7;5000;1;1;1;0
25;1;1;1;1500;0;0;0;0
32;0;1;9;3500;1;1;1;1
29;0;1;1;5000;1;1;1;0
29;0;1;7;2500;0;0;1;0
27;1;1;3;2500;0;1;1;1
35;1;0;4;14000;2;1;1;0
35;1;0;4;14000;2;1;1;1
29;1;0;1;45000;2;1;1;1
25;0;1;4;7000;0;1;1;1
36;1;0;1;1500;0;0;1;0
46;1;0;0;10000;1;1;1;0
33;0;1;4;7000;1;1;0;1
30;1;0;2;10000;1;1;0;1
32;1;0;3;14000;2;1;1;1
38;1;0;1;18000;2;1;1;0
53;1;0;0;3500;1;0;1;0
23;1;0;1;3500;1;0;1;0
31;1;0;4;10000;2;1;1;0
33;0;0;7;5000;2;0;1;1
36;1;0;1;10000;1;1;1;0
29;1;0;1;18000;2;0;1;1
38;1;0;1;5000;1;1;1;0
23;1;0;1;7000;1;1;1;1
27;1;0;1;7000;1;0;1;0
26;1;0;1;22500;2;1;1;1
30;1;0;4;10000;1;1;1;0
26;0;1;1;3500;0;0;1;0
50;0;1;2;10000;1;1;0;0
22;1;0;1;7000;1;1;1;0
39;1;1;1;5000;0;1;0;1
34;0;1;4;14000;2;1;0;1
23;1;0;1;5000;0;1;1;0
29;1;1;4;10000;2;1;1;1
25;0;1;9;3500;0;0;1;0
26;0;1;4;7000;1;1;0;1
27;1;1;4;22500;2;1;1;1
27;1;0;1;3500;0;1;1;1
24;1;0;1;2500;0;0;1;1
22;1;0;1;1500;0;0;1;0
29;1;1;4;7000;1;1;1;1
32;1;0;1;14000;2;1;0;1
38;0;0;9;7000;2;1;0;0
27;1;0;1;2500;0;1;1;0
27;0;1;2;7000;1;1;1;0
29;1;0;4;18000;2;1;1;0
23;1;1;1;3500;1;1;1;0
26;1;0;1;5000;1;1;1;0
33;1;0;1;14000;2;1;1;0
24;1;0;4;10000;2;1;1;1
26;0;0;7;10000;2;0;1;0
28;1;0;4;14000;2;1;1;1
37;0;1;4;5000;0;1;1;1
33;1;0;1;7000;1;0;1;0
43;1;0;5;2500;0;0;0;1
30;0;1;1;14000;2;0;1;1
48;1;0;5;10000;2;1;1;0
29;1;0;4;10000;2;1;0;1
28;1;0;1;1500;0;1;0;0
27;1;0;1;10000;2;1;0;1
28;1;0;1;500;0;1;1;1
29;1;0;9;14000;2;1;0;1
28;1;0;3;3500;1;0;1;1
33;0;0;1;10000;1;1;1;0
23;1;0;1;3500;1;0;1;1
