;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;RAIS - Divulgação: Março de 2025;;;;;;;;
;;;;;;;;;
;Ano: 2024;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Indicadores;;2023;2024;Variação Absoluta;Variação Relativa;;;
;Estoque Total;;44.472.798;46.270.514;1.797.716;4,0%;;;
;Região e UF;;;;;;;;
;Estoque;Brasil;44.472.798;46.270.514;1.797.716;4,0%;;;
;;Norte;2.184.552;2.308.216;123.664;5,7%;;;
;;Rondônia;281.015;290.001;8.986;3,2%;;;
;;Acre;99.231;104.772;5.541;5,6%;;;
;;Amazonas;501.694;542.323;40.629;8,1%;;;
;;Roraima;72.822;77.692;4.870;6,7%;;;
;;Pará;926.708;971.193;44.485;4,8%;;;
;;Amapá;85.552;93.851;8.299;9,7%;;;
;;Tocantins;217.530;228.384;10.854;5,0%;;;
;;Nordeste;7.314.479;7.670.321;355.842;4,9%;;;
;;Maranhão;589.597;611.934;22.337;3,8%;;;
;;Piauí;341.677;356.320;14.643;4,3%;;;
;;Ceará;1.291.930;1.350.744;58.814;4,6%;;;
;;Rio Grande do Norte;491.177;527.070;35.893;7,3%;;;
;;Paraíba;488.566;520.348;31.782;6,5%;;;
;;Pernambuco;1.406.197;1.471.711;65.514;4,7%;;;
;;Alagoas;410.009;430.300;20.291;4,9%;;;
;;Sergipe;312.479;329.235;16.756;5,4%;;;
;;Bahia;1.982.847;2.072.659;89.812;4,5%;;;
;;Sudeste;22.797.073;23.616.874;819.801;3,6%;;;
;;Minas Gerais;4.692.439;4.853.841;161.402;3,4%;;;
;;Espírito Santo;872.725;910.359;37.634;4,3%;;;
;;Rio de Janeiro;3.622.843;3.769.417;146.574;4,0%;;;
;;São Paulo;13.609.066;14.083.257;474.191;3,5%;;;
;;Sul;8.194.946;8.515.858;320.912;3,9%;;;
;;Paraná;3.060.811;3.197.677;136.866;4,5%;;;
;;Santa Catarina;2.426.891;2.545.564;118.673;4,9%;;;
;;Rio Grande do Sul;2.707.244;2.772.617;65.373;2,4%;;;
;;Centro-Oeste;3.980.977;4.155.491;174.514;4,4%;;;
;;Mato Grosso do Sul;642.499;662.117;19.618;3,1%;;;
;;Mato Grosso;901.991;937.539;35.548;3,9%;;;
;;Goiás;1.481.784;1.550.311;68.527;4,6%;;;
;;Distrito Federal;954.703;1.005.524;50.821;5,3%;;;
;Grupamento de Atividades Econômicas e Seção CNAE 2.0;;;;;;;;
;Estoque;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.786.999;1.799.906;12.907;0,7%;;;
;;Indústria geral;8.618.703;8.937.169;318.466;3,7%;;;
;;Indústrias Extrativas;271.027;281.975;10.948;4,0%;;;
;;Indústrias de Transformação;7.830.162;8.124.440;294.278;3,8%;;;
;;Eletricidade e Gás;135.379;138.909;3.530;2,6%;;;
;;Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação;382.135;391.845;9.710;2,5%;;;
;;Construção;2.849.438;2.960.420;110.982;3,9%;;;
;;"Comércio; reparação de veículos automotores e motocicletas";10.268.346;10.571.310;302.964;3,0%;;;
;;Serviços;20.949.312;22.001.709;1.052.397;5,0%;;;
;;Transporte, armazenagem e correio;2.696.919;2.821.899;124.980;4,6%;;;
;;Alojamento e alimentação;2.161.320;2.250.082;88.762;4,1%;;;
;;Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas;9.797.750;10.327.897;530.147;5,4%;;;
;;Informação e Comunicação;1.196.117;1.233.464;37.347;3,1%;;;
;;Atividades Financeiras, de Seguros e Serviços Relacionados;1.064.650;1.090.020;25.370;2,4%;;;
;;Atividades Imobiliárias;197.167;200.719;3.552;1,8%;;;
;;Atividades Profissionais, Científicas e Técnicas;1.550.526;1.633.457;82.931;5,3%;;;
;;Atividades Administrativas e Serviços Complementares;5.789.290;6.170.237;380.947;6,6%;;;
;;Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais;4.820.651;5.037.571;216.920;4,5%;;;
;;Administração Pública, Defesa e Seguridade Social;53.102;54.026;924;1,7%;;;
;;Educação;1.900.395;1.958.241;57.846;3,0%;;;
;;Saúde Humana e Serviços Sociais;2.867.154;3.025.304;158.150;5,5%;;;
;;Outros serviços;1.471.675;1.563.228;91.553;6,2%;;;
;;Artes, Cultura, Esporte e Recreação;302.833;332.677;29.844;9,9%;;;
;;Outras Atividades de Serviços;1.164.410;1.226.083;61.673;5,3%;;;
;;Organismos Internacionais e Outras Instituições Extraterritoriais;4.432;4.468;36;0,8%;;;
;Natureza Jurídica;;;;;;;;
;Estoque;Entidade Empresa Estatal;718.265;730.058;11.793;1,6%;;;
;;Entidade Empresa Privada;38.266.105;39.855.192;1.589.087;4,2%;;;
;;Entidades sem Fins Lucrativos;3.703.881;3.884.304;180.423;4,9%;;;
;;Pessoa Física e outras Organizações Legais;413.024;392.486;-20.538;-5,0%;;;
;Tamanho do Estabelecimento;;;;;;;;
;Estoque;De 1 a 4 empregados;4.863.312;4.996.985;133.673;2,7%;;;
;;De 5 a 9? empregados;4.562.516;4.625.396;62.880;1,4%;;;
;;De 10 a 19? empregados;5.280.018;5.425.450;145.432;2,8%;;;
;;De 20 a 49? empregados;6.547.594;6.765.743;218.149;3,3%;;;
;;De 50 a 99? empregados;4.565.693;4.767.992;202.299;4,4%;;;
