Genero,Área de formação em tecnologia,Situação de trabalho,Nível de Ensino,Cor/raca/etnia_Branca,Cor/raca/etnia_Outra,Cor/raca/etnia_Parda,Cor/raca/etnia_Preta,Região onde mora_Centro-oeste,Região onde mora_Nordeste,Região onde mora_Norte,Região onde mora_Sudeste,Região onde mora_Sul,Faixa Etária_Faixa_1_Idade,Faixa Etária_Faixa_2_Idade,Faixa Etária_Faixa_3_Idade,Faixa Etária_Faixa_4_Idade
0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,4,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1
1,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0
1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0
1,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0
1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0
1,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
1,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0
0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0
1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0
0,1,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0
0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0
