Idade,Genero,Cor/raca/etnia,PCD,UF,Regiao onde mora,Nível de Ensino,Área de formação,Situação de trabalho
31,0,0,0,12,2,5,0,0
30,0,0,0,7,2,2,0,0
37,1,2,0,24,2,2,0,0
22,0,1,0,24,2,1,0,1
34,0,0,0,12,2,5,1,0
30,0,0,0,18,2,1,0,0
24,0,0,0,24,2,2,1,0
35,0,0,0,24,2,3,0,0
27,0,3,0,18,2,2,1,0
28,0,3,0,24,2,2,1,1
25,0,1,1,25,1,1,0,0
46,1,3,0,16,1,3,0,1
32,1,1,0,20,3,3,1,0
39,0,0,0,24,2,2,0,0
36,0,0,0,6,4,3,0,0
35,1,0,0,12,2,4,0,0
29,1,0,0,18,2,2,4,0
29,1,5,0,12,2,4,0,0
27,0,3,0,15,3,2,0,0
31,0,0,0,18,2,3,1,0
35,0,3,0,14,1,4,0,0
35,0,0,0,24,2,2,1,0
29,0,0,0,15,3,2,2,0
44,1,0,0,12,2,5,1,0
25,1,0,0,24,2,2,0,0
36,1,3,0,12,2,3,4,0
46,0,0,0,23,3,2,0,0
33,1,3,0,24,2,4,0,0
30,0,0,0,24,2,4,1,0
36,0,3,0,24,2,3,1,0
53,0,0,0,20,3,3,7,0
31,0,0,0,24,2,3,0,0
33,1,0,0,4,1,2,4,0
36,0,0,0,23,3,4,2,0
29,0,0,0,24,2,3,2,0
38,0,0,0,15,3,2,1,0
23,0,0,0,20,3,2,0,0
27,0,0,0,13,0,4,3,0
26,0,0,0,24,2,4,4,0
30,0,3,0,18,2,3,2,0
26,1,0,0,15,3,1,0,0
50,1,3,0,24,2,4,3,0
23,1,0,0,12,2,1,4,0
22,0,0,0,24,2,2,0,0
39,0,3,0,8,4,3,5,0
34,1,0,0,16,1,3,0,0
29,0,1,0,6,4,2,0,0
25,1,0,0,24,2,2,0,0
26,1,0,0,15,3,2,0,0
27,0,1,0,16,1,2,2,0
27,0,0,0,24,2,1,0,0
24,0,0,0,24,2,1,0,0
22,0,0,0,12,2,1,0,0
29,0,1,0,7,2,4,2,0
32,0,0,0,20,3,2,0,0
38,1,0,0,7,2,3,0,0
27,0,0,0,15,3,4,0,0
27,0,0,0,24,2,2,1,0
27,1,0,0,20,3,4,1,0
29,0,0,0,15,3,4,0,0
